34.6504,-84.1972
34.6555,-84.0505
34.7351,-83.9178
34.7762,-83.8251
34.8037,-83.6772
34.9946,-83.5995
35.042,-83.5479
35.0699,-83.4971
35.1877,-83.5622
35.3343,-83.5922
35.3309,-83.6671
35.3913,-83.7617
35.502,-83.8151
35.567,-83.6417
35.5943,-83.4732
35.6508,-83.3084
35.7693,-83.1235
35.7817,-83.0258
35.876,-82.8612
35.8919,-82.8283
35.8919,-82.8283
35.9518,-82.7901
36.0565,-82.6563
35.9642,-82.5872
36.0272,-82.4266
36.1042,-82.397
36.1292,-82.2638
36.1052,-82.1217
36.1707,-82.0121
36.1923,-82.006
36.2201,-82.0884
36.3672,-82.0589
36.5806,-81.9017
36.6342,-81.7834
36.6444,-81.6559
36.654,-81.4984
36.7492,-81.4803
36.9045,-81.3717
37.0578,-81.3991
37.1396,-81.1206
37.165,-80.8986
37.2846,-80.8057
37.3328,-80.7345
37.3326,-80.7352
37.4038,-80.6869
37.4009,-80.5771
37.3591,-80.421
37.3876,-80.264
37.385,-80.1814
37.3908,-80.0307
37.3926,-79.9054
37.4674,-79.7012
37.5272,-79.5039
37.613,-79.392
37.7599,-79.1954
37.8177,-79.0701
37.9452,-78.9426
38.0722,-78.899
38.0722,-78.899
38.2139,-78.743
38.3331,-78.5586
38.5545,-78.4078
38.6766,-78.3189
38.8506,-78.1636
39.0476,-77.9441
39.1872,-77.7981
39.3218,-77.7469
39.3218,-77.7469
39.4811,-77.6196
39.7231,-77.5013
39.8687,-77.5005
40.0336,-77.3568
40.1118,-77.1042
40.2957,-77.0884
40.4258,-76.8793
40.4986,-76.6001
40.5115,-76.2767
40.587,-76.0264
40.683,-75.8739
40.806,-75.5534
40.9368,-75.1864
41.0478,-74.9716
41.3168,-74.6645
41.2058,-74.4727
41.2682,-74.2678
41.2797,-74.0593
41.3847,-73.8884
41.5645,-73.6915
41.6651,-73.5097
41.7789,-73.4184
41.9801,-73.389
42.1105,-73.43
42.221,-73.2502
42.3549,-73.1541
42.5615,-73.1567
42.7722,-73.1367
42.8877,-73.0956
43.1006,-72.964
43.3014,-72.9523
43.4879,-72.9244
43.6449,-72.8534
43.6798,-72.7882
43.662,-72.6221
43.7374,-72.2589
43.7832,-72.1115
43.8763,-72.0269
43.9966,-71.8889
44.1369,-71.7323
44.1867,-71.5534
44.2188,-71.3703
44.2573,-71.2534
44.2573,-71.2534
44.329,-71.15
44.4426,-71.1368
44.5252,-70.9809
44.5984,-70.9117
44.7008,-70.8247
44.8406,-70.6625
44.9515,-70.4761
45.0392,-70.3427
45.1392,-70.1912
45.2403,-70.0555
45.249,-69.8291
45.2869,-69.5031
45.3988,-69.4592
45.4532,-69.2624
45.561,-69.2347
45.7066,-69.0074
45.8206,-69.1655
45.8351,-68.9653
45.8856,-68.9935
45.9044,-68.9215
